tRNA	RF00005	1ASY:R|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1ASY:S|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1ASZ:R|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1ASZ:S|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1B23:R|PDBID|CHAIN|SEQUENCE
LSU_rRNA_bacteria	RF02541	1C04:E|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1C0A:B|PDBID|CHAIN|SEQUENCE
5S_rRNA	RF00001	1C2X:C|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1EFW:C|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1EFW:D|PDBID|CHAIN|SEQUENCE
LSU_rRNA_bacteria	RF02541	1EG0:L|PDBID|CHAIN|SEQUENCE
LSU_rRNA_archaea	RF02540	1EG0:L|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1EG0:O|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1EHZ:A|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1EIY:C|PDBID|CHAIN|SEQUENCE
SSU_rRNA_bacteria	RF00177	1EMI:B|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1EUQ:B|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1EUY:B|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1EVV:A|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1EXD:B|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1FCW:A|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1FCW:B|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1FCW:C|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1FCW:D|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1FCW:E|PDBID|CHAIN|SEQUENCE
5S_rRNA	RF00001	1FFK:9|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1FFY:T|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1FIR:A|PDBID|CHAIN|SEQUENCE
Phage_pRNA	RF00044	1FOQ:A|PDBID|CHAIN|SEQUENCE
Phage_pRNA	RF00044	1FOQ:B|PDBID|CHAIN|SEQUENCE
Phage_pRNA	RF00044	1FOQ:C|PDBID|CHAIN|SEQUENCE
Phage_pRNA	RF00044	1FOQ:D|PDBID|CHAIN|SEQUENCE
Phage_pRNA	RF00044	1FOQ:E|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1G59:B|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1G59:D|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1GAX:C|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1GAX:D|PDBID|CHAIN|SEQUENCE
Intron_gpI	RF00028	1GRZ:A|PDBID|CHAIN|SEQUENCE
Intron_gpI	RF00028	1GRZ:B|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1GSG:T|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1GTR:B|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1GTS:B|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1H3E:B|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1H4Q:T|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1H4S:T|PDBID|CHAIN|SEQUENCE
LSU_rRNA_bacteria	RF02541	1HC8:C|PDBID|CHAIN|SEQUENCE
LSU_rRNA_bacteria	RF02541	1HC8:D|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1I9V:A|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1IL2:C|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1IL2:D|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1IVS:C|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1IVS:D|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1J1U:B|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1J2B:C|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1J2B:D|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1JGO:B|PDBID|CHAIN|SEQUENCE
tRNA	RF00005	1JGO:C|PDBID|CHAIN|SEQUENCE
